country_code,site_id,smr_key,bucket,hard_criteria,floor_criteria,n_hard,n_floor,n_distinct_failures
TR,231565d3-4f56-43ee-a357-1f4451c6fbc3,nuscale_voygr6,floor_only,,EP-01|NH-02|NH-04,0,3,3
TR,2350bab4-9869-43f1-b62f-a4d5aea77ef5,nuscale_voygr6,survived,,,0,0,0
TR,28980273-0ba6-4c8c-b080-7ff9b33cc4c9,nuscale_voygr6,floor_only,,EP-01|NH-02,0,2,2
TR,28baef4d-44e3-4b2e-bbe3-75f736371553,nuscale_voygr6,both,NH-02,EP-01|NH-04,1,2,3
TR,28c80d72-dd9e-4fbf-a2c7-d48d49ca61dc,nuscale_voygr6,hard_only,EP-01,,1,0,1
TR,2a3aad60-2bff-4206-8275-f6e2029f9278,nuscale_voygr6,floor_only,,EP-01|NH-02|NH-04,0,3,3
TR,2b6a65d3-efb0-44d8-b88b-9aad311f4ac4,nuscale_voygr6,floor_only,,NH-04,0,1,1
TR,2ec95392-978d-4a43-85b9-af3282c212ba,nuscale_voygr6,floor_only,,EP-01|NH-02|NH-04,0,3,3
TR,2ed9363f-a9fe-46e5-8b92-c50b47a9077a,nuscale_voygr6,floor_only,,EP-01,0,1,1
TR,381221dd-76da-4adf-9b19-5da9f0779c22,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
