country_code,smr_key,weight_profile,scenario_family,site_id,baseline_national_rank,scenario_national_rank,rank_delta,baseline_score,scenario_score,score_delta,eligible_pair_count,small_n
RO,nuscale_voygr6,w_HI_minus_20,weight,aff5ffe6-fe7a-4de7-afad-9d4645a64cd9,8,8,0,6.201,6.188,-0.0129999999999999,21,False
BG,nuscale_voygr6,w_HI_minus_20,weight,b01fe781-dbc7-40f8-a544-946288020042,2,2,0,7.01,7.039,0.028999999999999915,7,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,b0ba194f-3c80-4725-b1e7-fa5277b38833,6,6,0,6.748,6.787,0.0389999999999997,29,False
PL,nuscale_voygr6,w_HI_minus_20,weight,b24c9876-5a4d-4b83-b442-af2f4b0d1047,50,50,0,5.744,5.748,0.004000000000000448,61,False
PL,nuscale_voygr6,w_HI_minus_20,weight,b24f9ac5-5ddf-4b19-ba95-76dafeca3d2c,5,5,0,7.192,7.191,-0.001000000000000334,61,False
MD,nuscale_voygr6,w_HI_minus_20,weight,b3eb5dd2-98cf-40c4-b9ee-2a86fd066093,1,1,0,6.456,6.539,0.0829999999999993,1,True
TR,nuscale_voygr6,w_HI_minus_20,weight,b588126a-42d6-49dc-b227-9283af5a2578,25,26,1,6.745,6.69,-0.054999999999999716,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,b5a75ec8-a2fe-42ad-b33e-ea32e20ebdfb,51,53,2,6.467,6.402,-0.0649999999999995,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,b5ff798e-e059-4d8b-a903-00a1fefc62ab,26,27,1,6.745,6.69,-0.054999999999999716,110,False
PL,nuscale_voygr6,w_HI_minus_20,weight,b789a244-7d29-4be3-afe4-2f45d7f11eab,52,55,3,5.718,5.682,-0.03599999999999959,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,b8875ff2-9e9d-4520-8879-c71468e9cc50,60,61,1,6.413,6.343,-0.07000000000000028,110,False
PL,nuscale_voygr6,w_HI_minus_20,weight,b8a00967-90a3-4a4e-9979-6b8651d87380,33,35,2,6.146,6.111,-0.03500000000000014,61,False
PL,nuscale_voygr6,w_HI_minus_20,weight,b8bc6544-1571-4906-95e0-314d62c78a24,10,9,-1,7.055,7.08,0.025000000000000355,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,bac4a081-83dc-4aba-8076-b67bfc55f54c,106,106,0,5.617,5.571,-0.04600000000000026,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,bfadbe66-971d-4f64-b222-604a7ee6ac6b,28,29,1,6.715,6.66,-0.054999999999999716,110,False
RO,nuscale_voygr6,w_HI_minus_20,weight,c3790475-3d3b-4e2b-92ae-24503fe03e6b,7,7,0,6.237,6.301,0.06400000000000006,21,False
PL,nuscale_voygr6,w_HI_minus_20,weight,c39819ef-6798-4c01-9a82-9eead65b5f56,26,25,-1,6.381,6.406,0.024999999999999467,61,False
