criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
NH-12,NS-03,-0.0607,-0.0521,0.0607,360,False
HI-07,NH-12,0.0606,0.0113,0.0606,360,False
NH-03,NH-06,-0.0601,0.0017,0.0601,360,False
HI-02,NH-14,-0.0591,-0.0404,0.0591,360,False
NH-03,RI-06,-0.0585,-0.0216,0.0585,360,False
NH-11,NS-03,0.0585,0.0171,0.0585,360,False
HI-02,RI-06,-0.0567,-0.057,0.057,360,False
NH-08,RI-03,0.0569,-0.0218,0.0569,360,False
BF-02,NH-03,0.043,0.0568,0.0568,360,False
EP-02,NH-05,-0.0568,-0.0331,0.0568,360,False
EP-02,NS-08,-0.0563,-0.0466,0.0563,360,False
NH-01,NH-04,-0.0345,-0.0563,0.0563,360,False
NH-11,RI-02,0.0561,0.03,0.0561,360,False
HI-02,NH-12,0.0529,0.056,0.056,360,False
NS-01,NS-05,-0.0379,-0.0557,0.0557,360,False
HI-06,NH-11,0.0511,0.0555,0.0555,360,False
NH-10,NH-11,0.052,0.0553,0.0553,360,False
HI-01,RI-06,0.012,0.0544,0.0544,360,False
BF-01,HI-04,0.0478,0.0544,0.0544,360,False
