run_id,site_id,smr_key,country_code,bucket,n_hard,n_floor,n_distinct_failures,hard_criteria,floor_criteria,created_at,site_name,country_code
fail_20260425b_ff84d75e,aa38441d-aec7-4ae9-b4c3-68c5bf567db3,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515612+00:00,Zlin power station,CZ
fail_20260425b_ff84d75e,7af0e000-3d19-4e5e-b504-f74897f1510c,nuscale_voygr6,HR,both,2,2,3,"['NH-02', 'NH-05']","['EP-01', 'NH-05']",2026-04-25 14:20:46.515614+00:00,Ploče power station,HR
fail_20260425b_ff84d75e,ab151830-e5bd-46de-8400-01aa4c165366,nuscale_voygr6,HR,both,1,3,3,['NH-05'],"['NH-04', 'NH-05', 'NS-08']",2026-04-25 14:20:46.515614+00:00,Plomin power station,HR
fail_20260425b_ff84d75e,ef325d90-6d2d-4f8f-89f2-3bc98beb149b,nuscale_voygr6,HU,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515616+00:00,Bakony power station,HU
fail_20260425b_ff84d75e,f2b3a729-602a-4b6b-acc9-004244f2e556,nuscale_voygr6,HU,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515616+00:00,Banhida-II power station,HU
fail_20260425b_ff84d75e,f7dcdb63-26e6-44cd-b440-ec14fe507d90,nuscale_voygr6,HU,both,1,2,2,['NH-05'],"['EP-01', 'NH-05']",2026-04-25 14:20:46.515616+00:00,Borsod power station,HU
fail_20260425b_ff84d75e,28b36531-865d-42ae-afb3-b8bad86f7014,nuscale_voygr6,HU,both,1,2,2,['NH-05'],"['EP-01', 'NH-05']",2026-04-25 14:20:46.515614+00:00,Matra power station,HU
fail_20260425b_ff84d75e,903d6b94-cd9d-4c32-b7e2-4bbfbee929df,nuscale_voygr6,HU,both,1,2,2,['NH-05'],"['NH-04', 'NH-05']",2026-04-25 14:20:46.515615+00:00,Matraterenye power station,HU
fail_20260425b_ff84d75e,34d88ce8-d49c-4b19-af2d-6efcb1b72149,nuscale_voygr6,HU,both,1,4,4,['NH-05'],"['EP-01', 'NH-04', 'NH-05', 'NS-08']",2026-04-25 14:20:46.515615+00:00,Mecsek Hills power station,HU
fail_20260425b_ff84d75e,997474f6-9bfd-4abd-a2ac-d8618db8f0b4,nuscale_voygr6,HU,both,1,1,1,['NH-05'],['NH-05'],2026-04-25 14:20:46.515615+00:00,Mohacs power station,HU
fail_20260425b_ff84d75e,651839d3-4e8f-4214-89aa-1f96ea221121,nuscale_voygr6,HU,both,1,1,1,['NH-05'],['NH-05'],2026-04-25 14:20:46.515615+00:00,Oroszlány power station,HU
