site_id,name,country_code,country_name,latitude,longitude,plant_type,status,region,elevation_m,installed_capacity_mw,site_area_ha
f5be4e73-938d-4fe2-b585-5090ec780670,Skawina power station,PL,Poland,49.977425,19.805132,coal,operating,Europe,220.56,540.0,50.6
66bdc30c-4179-480b-a55a-5d15be5ac66b,Stalowa Wola power station,PL,Poland,50.55386,22.0791,coal,retired,Europe,164.8,350.0,45.54
7fc17ab0-ce24-4830-a938-b8424d1e9368,Swiecie Pulp Mill power station,PL,Poland,53.393629,18.374224,coal,operating,Europe,44.86,113.0,9.3
f8f9f43d-6a3b-445d-818e-ca82a90ace65,Szczecin power station,PL,Poland,53.411271,14.585981,coal,operating,Europe,11.74,141.0,9.61
cd84938d-eea8-47a1-8ea6-2e9f943e5914,Turów power station,PL,Poland,50.947717,14.91171,lignite,operating,Europe,254.89,2754.0,75.96
3d2d4c37-eb9d-4b35-a8b1-b3f485bc3e3f,Tychy power station,PL,Poland,50.106,19.014,coal,operating,Europe,263.12,105.0,14.09
dc87cdf1-9936-4a59-a5e9-b5e360173490,Wroclaw power station,PL,Poland,51.123715,17.02457,coal,operating,Europe,129.67,263.0,17.64
2da9dab9-7b4e-46e7-b1c8-70eeb329c177,Zabrze power station,PL,Poland,50.324928,18.785719,coal,operating,Europe,265.22,108.0,5.06
a55e3643-8ed4-434b-b14f-2d549d09c0d9,Zarnowiec power station,PL,Poland,54.787416,18.085672,coal,cancelled,Europe,35.3,1600.0,1.9
d40cdaf1-49e4-4c59-a6c8-2402cd2bf006,Zeran power station,PL,Poland,52.2947,20.99334,coal,operating,Europe,90.05,586.0,25.72
b24c9876-5a4d-4b83-b442-af2f4b0d1047,Zofiowka Mine power station,PL,Poland,49.964162,18.626794,coal,operating,Europe,288.67,145.0,8.29
202d797d-b0f9-4cd0-bbac-d7bb06805c09,ZW Nowa power station,PL,Poland,50.347756,19.278159,coal,operating,Europe,311.31,105.0,314.13
