run_id,site_id,smr_key,weight_profile,criterion_id,score_0_10,weight_normalised,weighted_contribution,category,created_at,site_name,country_code
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,RI-06,3.5,0.0177,0.0618,RI,2026-04-25 14:03:25.097838+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,29836b52-a882-4921-95a7-6417e636d9a2,nuscale_voygr6,baseline,EP-01,5.5,0.0283,0.1555,EP,2026-04-25 14:03:25.097873+00:00,Braila power station,RO
20260425T140231_ff84d75e,323cdbf0-c4a8-467a-af76-e2e3df0b537f,nuscale_voygr6,baseline,EP-01,5.5,0.0283,0.1555,EP,2026-04-25 14:03:25.097911+00:00,Braila power station,RO
20260425T140231_ff84d75e,29836b52-a882-4921-95a7-6417e636d9a2,nuscale_voygr6,baseline,EP-02,1.5,0.0212,0.0318,EP,2026-04-25 14:03:25.097873+00:00,Braila power station,RO
20260425T140231_ff84d75e,323cdbf0-c4a8-467a-af76-e2e3df0b537f,nuscale_voygr6,baseline,EP-02,1.5,0.0212,0.0318,EP,2026-04-25 14:03:25.097912+00:00,Braila power station,RO
20260425T140231_ff84d75e,323cdbf0-c4a8-467a-af76-e2e3df0b537f,nuscale_voygr6,baseline,HI-01,5.5,0.0247,0.136,HI,2026-04-25 14:03:25.097912+00:00,Braila power station,RO
20260425T140231_ff84d75e,29836b52-a882-4921-95a7-6417e636d9a2,nuscale_voygr6,baseline,HI-01,5.5,0.0247,0.136,HI,2026-04-25 14:03:25.097873+00:00,Braila power station,RO
20260425T140231_ff84d75e,323cdbf0-c4a8-467a-af76-e2e3df0b537f,nuscale_voygr6,baseline,HI-03,7.5,0.0247,0.1855,HI,2026-04-25 14:03:25.097912+00:00,Braila power station,RO
20260425T140231_ff84d75e,29836b52-a882-4921-95a7-6417e636d9a2,nuscale_voygr6,baseline,HI-03,7.5,0.0247,0.1855,HI,2026-04-25 14:03:25.097873+00:00,Braila power station,RO
20260425T140231_ff84d75e,323cdbf0-c4a8-467a-af76-e2e3df0b537f,nuscale_voygr6,baseline,HI-06,3.5,0.0212,0.0742,HI,2026-04-25 14:03:25.097912+00:00,Braila power station,RO
20260425T140231_ff84d75e,29836b52-a882-4921-95a7-6417e636d9a2,nuscale_voygr6,baseline,HI-06,3.5,0.0212,0.0742,HI,2026-04-25 14:03:25.097874+00:00,Braila power station,RO
20260425T140231_ff84d75e,29836b52-a882-4921-95a7-6417e636d9a2,nuscale_voygr6,baseline,NH-01,3.5,0.0318,0.1113,NH,2026-04-25 14:03:25.097874+00:00,Braila power station,RO
20260425T140231_ff84d75e,323cdbf0-c4a8-467a-af76-e2e3df0b537f,nuscale_voygr6,baseline,NH-01,3.5,0.0318,0.1113,NH,2026-04-25 14:03:25.097912+00:00,Braila power station,RO
20260425T140231_ff84d75e,29836b52-a882-4921-95a7-6417e636d9a2,nuscale_voygr6,baseline,NH-02,7.5,0.0318,0.2385,NH,2026-04-25 14:03:25.097874+00:00,Braila power station,RO
